id,activity,api,cputime,day,filesize,language,latency,memory,platform,time
286,upload,native,1.77,6/24/16,155,java,418,74592,aws,00:00:00
287,upload,native,1.85,6/24/16,155,java,463,77500,aws,00:00:01
288,upload,multicloud,3.37,6/24/16,155,java,791,211404,aws,00:00:01
289,upload,native,1.78,6/24/16,155,java,496,73136,aws,00:00:02
290,upload,multicloud,3.44,6/24/16,155,java,770,210248,aws,00:00:03
291,upload,native,1.84,6/24/16,155,java,402,77548,aws,00:00:04
292,upload,multicloud,0.13,6/24/16,155,python,159.291029,15388,azure,00:00:04
293,upload,native,0.29,6/24/16,155,python,115.4317856,19084,azure,00:00:04
294,upload,multicloud,0.11,6/24/16,155,python,58.31599236,15504,azure,00:00:04
295,upload,native,0.24,6/24/16,155,python,66.98799133,19120,azure,00:00:05
296,upload,native,2.04,6/24/16,155,java,71,59056,azure,00:00:05
297,upload,multicloud,0.16,6/24/16,155,python,61.89799309,15584,azure,00:00:05
298,upload,native,1.98,6/24/16,155,java,498,74292,aws,00:00:05
299,upload,native,0.25,6/24/16,155,python,64.19801712,19148,azure,00:00:05
300,upload,multicloud,0.13,6/24/16,155,python,95.27587891,15388,azure,00:00:05
301,upload,native,0.2,6/24/16,155,python,63.66300583,19068,azure,00:00:05
302,upload,multicloud,0.13,6/24/16,155,python,55.48095703,15520,azure,00:00:06
303,upload,native,0.19,6/24/16,155,python,65.72794914,19128,azure,00:00:06
304,upload,native,1.78,6/24/16,155,java,62,59468,azure,00:00:06
305,upload,native,0.18,6/24/16,155,python,85.4640007,19136,azure,00:00:06
306,upload,multicloud,0.12,6/24/16,155,python,97.89299965,15572,azure,00:00:06
307,upload,native,1.77,6/24/16,155,java,461,74104,aws,00:00:06
308,upload,multicloud,3.63,6/24/16,155,java,978,216280,aws,00:00:06
309,upload,native,0.22,6/24/16,155,python,68.33910942,19208,azure,00:00:06
310,upload,multicloud,0.13,6/24/16,155,python,100.4641056,15508,azure,00:00:07
311,upload,native,0.22,6/24/16,155,python,82.41701126,19176,azure,00:00:07
312,upload,multicloud,0.11,6/24/16,155,python,105.0648689,15456,azure,00:00:07
313,upload,multicloud,0.11,6/24/16,155,python,62.07108498,15460,azure,00:00:07
314,upload,native,1.75,6/24/16,155,java,59,59708,azure,00:00:07
315,upload,native,0.28,6/24/16,155,python,73.93717766,19132,azure,00:00:07
316,upload,multicloud,0.13,6/24/16,155,python,59.83901024,15460,azure,00:00:08
317,upload,native,0.26,6/24/16,155,python,68.02392006,19144,azure,00:00:08
318,upload,native,1.85,6/24/16,155,java,434,79076,aws,00:00:08
319,upload,multicloud,6.82,6/24/16,155,java,1160,111048,azure,00:00:08
320,upload,multicloud,0.13,6/24/16,155,python,54.92591858,15572,azure,00:00:08
321,upload,native,0.24,6/24/16,155,python,68.43018532,19052,azure,00:00:08
322,upload,multicloud,0.12,6/24/16,155,python,57.64198303,15424,azure,00:00:08
323,upload,native,0.23,6/24/16,155,python,68.61305237,19064,azure,00:00:09
324,upload,multicloud,3.49,6/24/16,155,java,853,208532,aws,00:00:09
325,upload,native,1.81,6/24/16,155,java,70,58764,azure,00:00:09
326,upload,native,0.21,6/24/16,155,python,63.1570816,19152,azure,00:00:09
327,upload,multicloud,0.11,6/24/16,155,python,103.8770676,15504,azure,00:00:09
328,upload,native,1.81,6/24/16,155,java,521,75536,aws,00:00:09
329,upload,native,0.18,6/24/16,155,python,67.98410416,19124,azure,00:00:09
330,upload,multicloud,0.16,6/24/16,155,python,62.31713295,15572,azure,00:00:09
331,upload,multicloud,0.14,6/24/16,155,python,56.00881577,15520,azure,00:00:10
332,upload,native,0.24,6/24/16,155,python,71.31195068,19108,azure,00:00:10
333,upload,multicloud,0.13,6/24/16,155,python,77.62789726,15572,azure,00:00:10
334,upload,native,0.27,6/24/16,155,python,74.93591309,19188,azure,00:00:10
335,upload,native,1.75,6/24/16,155,java,68,59376,azure,00:00:10
336,upload,multicloud,0.12,6/24/16,155,python,49.47185516,15568,azure,00:00:10
337,upload,native,1.81,6/24/16,155,java,457,76544,aws,00:00:10
338,upload,multicloud,0.12,6/24/16,155,python,78.977108,15524,azure,00:00:11
339,upload,native,0.27,6/24/16,155,python,203.2279968,19124,azure,00:00:11
340,upload,multicloud,0.12,6/24/16,155,python,50.55785179,15420,azure,00:00:11
341,upload,native,0.26,6/24/16,155,python,92.98086166,19260,azure,00:00:11
342,upload,multicloud,3.48,6/24/16,155,java,930,214128,aws,00:00:11
343,upload,multicloud,0.11,6/24/16,155,python,102.6721001,15464,azure,00:00:11
344,upload,native,0.2,6/24/16,155,python,80.36804199,19140,azure,00:00:11
345,upload,native,1.82,6/24/16,155,java,75,59224,azure,00:00:12
346,upload,native,1.81,6/24/16,155,java,416,77504,aws,00:00:12
347,upload,native,0.22,6/24/16,155,python,73.03118706,19104,azure,00:00:12
348,upload,multicloud,6.33,6/24/16,155,java,931,106344,azure,00:00:12
349,upload,multicloud,0.09,6/24/16,155,python,51.93710327,15392,azure,00:00:12
350,upload,native,0.22,6/24/16,155,python,63.90213966,19084,azure,00:00:12
351,upload,native,0.21,6/24/16,155,python,60.35494804,19068,azure,00:00:12
352,upload,multicloud,0.2,6/24/16,155,python,118.710041,15568,azure,00:00:12
353,upload,native,0.24,6/24/16,155,python,70.63794136,19180,azure,00:00:13
354,upload,multicloud,0.16,6/24/16,155,python,65.89698792,15508,azure,00:00:13
355,upload,native,1.76,6/24/16,155,java,78,58556,azure,00:00:13
356,upload,native,1.81,6/24/16,155,java,581,75832,aws,00:00:13
357,upload,multicloud,0.14,6/24/16,155,python,96.48299217,15568,azure,00:00:13
358,upload,native,0.23,6/24/16,155,python,59.77606773,19124,azure,00:00:13
359,upload,multicloud,3.54,6/24/16,155,java,893,212668,aws,00:00:13
360,upload,multicloud,0.14,6/24/16,155,python,56.77890778,15508,azure,00:00:14
361,upload,native,0.22,6/24/16,155,python,67.35491753,19140,azure,00:00:14
362,upload,multicloud,0.12,6/24/16,155,python,58.23493004,15568,azure,00:00:14
363,upload,native,0.28,6/24/16,155,python,95.08609772,19192,azure,00:00:14
364,upload,multicloud,0.14,6/24/16,155,python,62.48688698,15456,azure,00:00:14
365,upload,native,1.88,6/24/16,155,java,74,59508,azure,00:00:14
366,upload,native,0.28,6/24/16,155,python,94.77806091,19124,azure,00:00:14
367,upload,native,1.83,6/24/16,155,java,551,74100,aws,00:00:15
368,upload,multicloud,0.16,6/24/16,155,python,84.70511436,15424,azure,00:00:15
369,upload,native,0.24,6/24/16,155,python,74.96809959,19140,azure,00:00:15
370,upload,multicloud,0.12,6/24/16,155,python,52.66308784,15468,azure,00:00:15
371,upload,multicloud,0.09,6/24/16,155,python,37.89997101,15464,azure,00:00:15
372,upload,native,0.2,6/24/16,155,python,52.77395248,19204,azure,00:00:15
373,upload,multicloud,0.1,6/24/16,155,python,53.09486389,15464,azure,00:00:15
374,upload,native,1.75,6/24/16,155,java,92,59716,azure,00:00:16
375,upload,native,0.24,6/24/16,155,python,79.93793488,19104,azure,00:00:16
376,upload,multicloud,3.67,6/24/16,155,java,859,211884,aws,00:00:16
377,upload,native,1.8,6/24/16,155,java,392,73824,aws,00:00:16
378,upload,multicloud,0.15,6/24/16,155,python,54.62813377,15468,azure,00:00:16
379,upload,native,0.24,6/24/16,155,python,70.34277916,19260,azure,00:00:16
380,upload,multicloud,0.13,6/24/16,155,python,125.9758472,15512,azure,00:00:16
